pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
56.3575,11.9425,180.0,top,C1,,C_0805_2012Metric,22pF,smt,True
75.53,10.21,90.0,top,C10,,C_0805_2012Metric,1uF,smt,True
50.43,43.17,0.0,top,C11,,C_0805_2012Metric,100pF,smt,True
38.37,44.18,180.0,top,C12,,C_0805_2012Metric,100pF,smt,True
71.88,40.4,90.0,top,C13,,C_0805_2012Metric,22pF,smt,True
80.63,47.26,-90.0,top,C14,,C_0805_2012Metric,0.1uF,smt,True
18.27,45.28,-90.0,top,C15,,C_0805_2012Metric,0.1uF,smt,True
33.35,32.68,-90.0,top,C16,,C_0805_2012Metric,100pF,smt,True
6.45,46.77,90.0,top,C17,,C_0805_2012Metric,0.1uF,smt,True
44.56,31.91,180.0,top,C18,,C_0805_2012Metric,0.1uF,smt,True
63.78,15.52,0.0,top,C19,,C_0805_2012Metric,0.1uF,smt,True
56.3575,15.2725,180.0,top,C2,,C_0805_2012Metric,22pF,smt,True
7.3625,1.29,0.0,top,C3,,C_0805_2012Metric,1uF,smt,True
33.58,3.79,-90.0,top,C4,,C_0805_2012Metric,22uF,smt,True
9.32,42.45,90.0,top,C5,,C_0805_2012Metric,10uF,smt,True
36.58,3.79,-90.0,top,C6,,C_0805_2012Metric,0.1uF,smt,True
71.87,45.05,-90.0,top,C7,,C_0805_2012Metric,22pF,smt,True
77.41,47.26,-90.0,top,C8,,C_0805_2012Metric,10uF,smt,True
70.31,15.51,180.0,top,C9,,C_0805_2012Metric,1uF,smt,True
70.26,4.4,0.0,top,D2,,LED_0805_2012Metric,LED,smt,True
6.57,41.98,-90.0,top,F1,,Fuse_1206_3216Metric,MF-NSMF110,smt,True
0.02,54.97,0.0,top,H1,,MountingHole_6mm,MountingHole,tht,True
0.02,-0.03,0.0,top,H2,,MountingHole_6mm,MountingHole,tht,True
85.02,54.97,0.0,top,H3,,MountingHole_6mm,MountingHole,tht,True
85.02,-0.03,0.0,top,H4,,MountingHole_6mm,MountingHole,tht,True
42.52,21.05,0.0,bottom,J1,,2464,2464,tht,True
40.96,20.76,-90.0,top,J2,,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,Conn_01x02_Male,tht,True
2.273333,21.25,180.0,bottom,J3,,PinSocket_1x06_P2.54mm_Vertical,Conn_01x06_Male,tht,True
-2.855,38.18,-90.0,top,J4,,FCI_10118193-0001LF,USB_Micro-10118193-0001LF,smt,True
78.81,27.65,180.0,bottom,J5,,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04_Male,tht,True
86.13,14.63,-90.0,bottom,J6,,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,Conn_01x08_Female,smt,True
86.13,36.62,-90.0,bottom,J7,,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,Conn_01x04_Female,smt,True
14.62,45.33,90.0,top,Q2,,SOT-23,BSS84,smt,True
70.27,19.33,90.0,top,Q3,,SOT-23,BSS84,smt,True
7.3625,4.37,0.0,top,R1,,R_0805_2012Metric,10k,smt,True
63.752,11.492,180.0,top,R10,,R_0805_2012Metric,10M,smt,True
20.92,45.28,-90.0,top,R11,,R_0805_2012Metric,2k,smt,True
16.22,40.6675,-90.0,top,R12,,R_0805_2012Metric,1k,smt,True
13.67,40.6675,90.0,top,R13,,R_0805_2012Metric,500R,smt,True
63.732,8.51,0.0,top,R14,,R_0805_2012Metric,10M,smt,True
35.98,32.72,-90.0,top,R15,,R_0805_2012Metric,100k,smt,True
49.43,38.16,90.0,top,R16,,R_0805_2012Metric,50k,smt,True
46.98,38.21,90.0,top,R17,,R_0805_2012Metric,50k,smt,True
51.61,27.7,180.0,top,R18,,R_0805_2012Metric,1M,smt,True
52.25,19.15,90.0,top,R19,,R_0805_2012Metric,1M,smt,True
48.27,11.4,0.0,top,R2,,R_0805_2012Metric,0,smt,True
48.18,14.75,0.0,top,R3,,R_0805_2012Metric,0,smt,True
41.06,17.57,0.0,top,R4,,R_0805_2012Metric,10K,smt,True
82.87,24.62,-90.0,top,R5,,R_0805_2012Metric,4.7k,smt,True
70.21,1.08,0.0,top,R6,,R_0805_2012Metric,4.7k,smt,True
73.92,27.74,180.0,top,R7,,R_0805_2012Metric,4.7k,smt,True
85.06,43.43,90.0,top,R8,,R_0805_2012Metric,100k,smt,True
8.59,16.99,90.0,top,R9,,R_0805_2012Metric,10k,smt,True
0.22,46.28,180.0,top,S1,,PTS526SK15SMTR2LFS,PTS526_SK15_SMTR2_LFS,smt,True
53.81,30.02,0.0,top,TP1,,TestPoint_Pad_D1.0mm,TestPoint,tht,True
70.31,10.21,-90.0,top,U1,,SOT-23-5_HandSoldering,RT9080-33GJ5,smt,True
21.73,12.8,180.0,top,U2,,ESP32-S3-WROOM-1U,ESP32-S3-WROOM-1,smt,True
42.52,45.2925,0.0,top,U3,,SON65P250X250X80-7N,ALT025-10E,tht,True
42.08,26.38,90.0,top,U4,,STQFN-24-3.0X3.0-A,SLG47004V,smt,True
78.07,42.2,0.0,top,U5,,MSOP-8_3x3mm_P0.65mm,PCF8563TS,smt,True
-0.08,48.43,180.0,bottom,U6,,INPI22TAT5R5G5B,IN-PI22TAT5R5G5B,smt,True
21.67,27.83,0.0,top,U8,,SOIC-8_3.9x4.9mm_P1.27mm,MB85RC64TA,smt,True
58.07,26.19,0.0,top,U9,,SLG88103V,SLG88103V,smt,True
52.1575,13.5675,-90.0,top,Y1,,XTAL_ABS07-32.768KHZ-T,ABS07-32.768KHZ-T,smt,True
67.73,42.835,90.0,top,Y2,,XTAL_ABS07-32.768KHZ-T,ABS07-32.768KHZ-T,smt,True
